Measure Mode: wall_time
Thread ID: 70212817918080
Fiber ID: 70212812661460
Total: 0.091663
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.06      0.000     0.000     0.000     0.000       11   ActiveRecord::AutosaveAssociation::ClassMethods#define_non_cyclic_method 
  0.06      0.000     0.000     0.000     0.000       55   BasicObject#singleton_method_undefined 
  0.06      0.000     0.000     0.000     0.000       50   ActiveSupport::Callbacks::Callback#filter 
  0.06      0.000     0.000     0.000     0.000       12   ActiveRecord::Inheritance::ClassMethods#base_class 
  0.06      0.000     0.000     0.000     0.000       22   Module#parent_name 
  0.06      0.000     0.000     0.000     0.000       42   String#intern 
  0.06      0.017     0.000     0.000     0.017        4   ActiveSupport::Dependencies#load_file 
  0.06      0.000     0.000     0.000     0.000        8   <Class::ActiveRecord::Base>#_reflections= 
  0.06      0.000     0.000     0.000     0.000       55   Module#singleton_class? 
  0.06      0.000     0.000     0.000     0.000       20   Module#include 
  0.06      0.000     0.000     0.000     0.000       25   ActiveSupport::Callbacks::CallbackChain#remove_duplicates 
  0.06      0.004     0.000     0.000     0.003        8   <Module::ActiveRecord::AutosaveAssociation::AssociationBuilderExtension>#build 
  0.05      0.000     0.000     0.000     0.000       23   ActiveSupport::Dependencies#log_call 
  0.05      0.000     0.000     0.000     0.000       63   Symbol#to_sym 
  0.05      0.000     0.000     0.000     0.000       26   ActiveRecord::LogSubscriber#logger 
  0.05      0.000     0.000     0.000     0.000       12   ActiveRecord::AttributeMethods::TimeZoneConversion::ClassMethods#create_time_zone_conversion_attribute? 
  0.05      0.004     0.000     0.000     0.004       12  *Enumerable#flat_map 
  0.05      0.000     0.000     0.000     0.000        7   <Class::ActiveRecord::Base>#_update_callbacks= 
  0.05      0.000     0.000     0.000     0.000        3   ActiveRecord::Associations::Builder::HasMany#valid_options 
  0.05      0.001     0.000     0.000     0.001        4   ActiveRecord::AttributeMethods::ClassMethods#initialize_generated_modules 
  0.05      0.001     0.000     0.000     0.001       15   String#underscore 
  0.05      0.000     0.000     0.000     0.000        8   ActiveSupport::Subscriber#start 
  0.05      0.000     0.000     0.000     0.000       35   <Module::ActiveSupport::Dependencies>#logger 
  0.05      0.000     0.000     0.000     0.000       42   String#inspect 
  0.05      0.000     0.000     0.000     0.000       20   Module#append_features 
  0.05      0.000     0.000     0.000     0.000        7   <Class::ActiveRecord::Base>#_create_callbacks= 
  0.05      0.002     0.000     0.000     0.001       12   String#pluralize 
  0.05      0.000     0.000     0.000     0.000       24   ActiveSupport::Subscriber#event_stack 
  0.05      0.000     0.000     0.000     0.000       51   String#initialize_copy 
  0.05      0.000     0.000     0.000     0.000       16   Module#const_set 
  0.05      0.000     0.000     0.000     0.000        4   <Class::ActiveRecord::Base>#_validators= 
  0.05      0.092     0.000     0.000     0.092        1   UsersController#quick 
  0.05      0.000     0.000     0.000     0.000       25   Array#delete_if 
