Measure Mode: wall_time
Thread ID: 70212763973840
Fiber ID: 70212781748700
Total: 0.473946
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.07      0.000     0.000     0.000     0.000      406   <Class::SocialAccount(id: integer, social_id: string, social_name: string, created_at: datetime, updated_at: datetime, social_account_type_id: integer)>#_reflections 
  0.07      0.004     0.000     0.000     0.004      202   #<Module:0x007fb75fac5c88>#__temp__37f6369616c6f5e616d656 
  0.07      0.002     0.000     0.000     0.001      102   ActiveRecord::SpawnMethods#relation_with 
  0.06      0.002     0.000     0.000     0.002        2   ActiveRecord::Relation#to_sql 
  0.06      0.000     0.000     0.000     0.000      417   Struct#initialize 
  0.06      0.000     0.000     0.000     0.000      204   ActiveRecord::Associations::Association#find_target? 
  0.06      0.000     0.000     0.000     0.000      612   Hash#delete 
  0.06      0.040     0.000     0.000     0.040      220   Enumerable#each_with_index 
  0.06      0.004     0.000     0.000     0.003      102   ActiveRecord::SpawnMethods#except 
  0.06      0.006     0.000     0.000     0.006      102   ActiveRecord::Associations::HasManyThroughAssociation#initialize 
  0.06      0.057     0.000     0.000     0.057      204   <Class::ActiveRecord::Associations::AssociationScope>#scope 
  0.06      0.000     0.000     0.000     0.000      204   ActiveRecord::Associations::AliasTracker#initialize 
  0.06      0.003     0.000     0.000     0.002      204   ActiveRecord::Associations::CollectionProxy#load_target 
  0.06      0.011     0.000     0.000     0.011      204   ActiveRecord::Associations::AssociationScope#construct_tables 
  0.06      0.002     0.000     0.000     0.002      102   ActiveRecord::Reflection::ThroughReflection#association_primary_key 
  0.06      0.000     0.000     0.000     0.000      205   Hash#initialize 
  0.05      0.003     0.000     0.000     0.002      203   ActiveRecord::Associations::Preloader::ThroughAssociation#source_reflection 
  0.05      0.000     0.000     0.000     0.000      306   Array#shift 
  0.05      0.000     0.000     0.000     0.000      306   ActiveRecord::Associations::AssociationScope#alias_suffix 
  0.05      0.000     0.000     0.000     0.000      307   Arel::Visitors::ToSql#literal 
  0.05      0.000     0.000     0.000     0.000      204   ActiveRecord::ConnectionAdapters::SchemaCache#columns_hash 
  0.05      0.000     0.000     0.000     0.000       95   Module#method_defined? 
  0.05      0.000     0.000     0.000     0.000      508   ActiveRecord::Associations::Association#stale_state 
  0.05      0.000     0.000     0.000     0.000      308   Module#< 
  0.05      0.002     0.000     0.000     0.001      102   ActiveRecord::Reflection::ThroughReflection#foreign_key 
  0.05      0.001     0.000     0.000     0.001      102   ActiveRecord::Associations::AssociationScope#join 
  0.05      0.009     0.000     0.000     0.009        6   ActiveRecord::QueryMethods#build_arel 
  0.05      0.000     0.000     0.000     0.000      316   Array#last 
  0.05      0.000     0.000     0.000     0.000      310   Method#owner 
  0.04      0.000     0.000     0.000     0.000      204   ActiveRecord::Reflection::ThroughReflection#chain 
  0.04      0.000     0.000     0.000     0.000       24   <Class::File>#file? 
  0.04      0.000     0.000     0.000     0.000      355   Arel::Visitors::DepthFirst#terminal 
  0.04      0.000     0.000     0.000     0.000      102   ActiveRecord::Associations::ThroughAssociation#chain 
  0.04      0.000     0.000     0.000     0.000      429   String#starts_with? 
  0.04      0.001     0.000     0.000     0.001      102   Hash#except 
  0.04      0.000     0.000     0.000     0.000      102   Arel::Nodes::Unary#initialize 
  0.04      0.002     0.000     0.000     0.002        9   Kernel#inspect 
  0.04      0.000     0.000     0.000     0.000      404   ActiveRecord::Core#to_ary 
  0.04      0.001     0.000     0.000     0.001      102   ActiveRecord::Reflection::ThroughReflection#type 
  0.04      0.119     0.000     0.000     0.119      102   User::GeneratedAssociationMethods#social_accounts 
  0.04      0.001     0.000     0.000     0.001       45   ActiveRecord::AttributeMethods::ClassMethods#instance_method_already_implemented? 
  0.04      0.000     0.000     0.000     0.000      306   Fixnum#zero? 
  0.04      0.000     0.000     0.000     0.000      202   Hash#has_key? 
  0.04      0.002     0.000     0.000     0.002      102   #<Module:0x007fb75fac5c88>#__temp__56d61696c6 
  0.04      0.000     0.000     0.000     0.000      105   ActiveRecord::Delegation#respond_to? 
  0.04      0.001     0.000     0.000     0.001      102   ActiveRecord::Reflection::ThroughReflection#actual_source_reflection 
  0.04      0.000     0.000     0.000     0.000      102   ActiveRecord::Reflection::AssociationReflection#table_name 
  0.04      0.001     0.000     0.000     0.001       45   ActiveRecord::DynamicMatchers#respond_to? 
  0.03      0.001     0.000     0.000     0.001      102   Hash#except! 
  0.03      0.001     0.000     0.000     0.001      107   ActiveRecord::Associations::Preloader::ThroughAssociation#through_reflection 
  0.03      0.000     0.000     0.000     0.000      228   Kernel#respond_to_missing? 
  0.03      0.000     0.000     0.000     0.000      308   Kernel#kind_of? 
  0.03      0.000     0.000     0.000     0.000      215   NilClass#to_a 
  0.03      0.000     0.000     0.000     0.000      102   ActiveRecord::Reflection::AssociationReflection#scope_chain 
  0.03      0.000     0.000     0.000     0.000      104   ActiveRecord::QueryMethods#check_if_method_has_arguments! 
  0.03      0.000     0.000     0.000     0.000      172   Module#const_defined? 
  0.03      0.000     0.000     0.000     0.000      211   Array#concat 
  0.03      0.002     0.000     0.000     0.001      102   ActiveRecord::Reflection::ThroughReflection#source_macro 
  0.03      0.000     0.000     0.000     0.000       25   String#gsub! 
  0.03      0.000     0.000     0.000     0.000      202   ActiveRecord::Associations::HasManyThroughAssociation#invertible_for? 
  0.03      0.000     0.000     0.000     0.000      102   ActiveRecord::Reflection::AssociationReflection#primary_key 
  0.03      0.000     0.000     0.000     0.000       20   <Class::ActiveRecord::Base>#logger 
  0.03      0.000     0.000     0.000     0.000       45   String#% 
  0.03      0.001     0.000     0.000     0.000      102   Arel::FactoryMethods#create_join 
  0.03      0.000     0.000     0.000     0.000      102   Arel::FactoryMethods#create_on 
  0.03      0.001     0.000     0.000     0.001       17   MonitorMixin#mon_synchronize 
  0.03      0.000     0.000     0.000     0.000       48   <Class::File>#join 
  0.03      0.002     0.000     0.000     0.001        9   ActiveRecord::Core::ClassMethods#inspect 
  0.03      0.014     0.000     0.000     0.014      105   Enumerable#group_by 
