Measure Mode: wall_time
Thread ID: 70212782282580
Fiber ID: 70212755826020
Total: 0.678676
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.10      0.004     0.001     0.000     0.003      189   ActiveRecord::AttributeMethods::ClassMethods#instance_method_already_implemented? 
  0.10      0.007     0.001     0.000     0.006      102   ActiveRecord::SpawnMethods#except 
  0.10      0.001     0.001     0.000     0.000      510   ActiveRecord::QueryMethods#extending_values 
  0.10      0.010     0.001     0.000     0.010      202   SocialAccount::GeneratedAssociationMethods#social_account_type 
  0.10      0.008     0.001     0.000     0.007      202   #<Module:0x007fb75fac5c88>#__temp__37f6369616c6f5e616d656 
  0.10      0.004     0.001     0.000     0.003      189   ActiveRecord::DynamicMatchers#respond_to? 
  0.10      0.001     0.001     0.000     0.000     1042   Kernel#instance_variable_defined? 
  0.10      0.001     0.001     0.000     0.000      657   Array#initialize_copy 
  0.10      0.001     0.001     0.000     0.000      307   ActiveRecord::Scoping::ScopeRegistry#raise_invalid_scope_type! 
  0.10      0.001     0.001     0.000     0.000      204   ActiveRecord::Associations::AssociationScope#column_for 
  0.10      0.001     0.001     0.000     0.000      100   <Class::File>#file? 
  0.10      0.001     0.001     0.000     0.000      314   ActiveRecord::QueryMethods#joins_values 
  0.09      0.005     0.001     0.000     0.004      204   ActiveRecord::Associations::AssociationScope#bind 
  0.09      0.001     0.001     0.000     0.000     1136   Integer#to_i 
  0.09      0.001     0.001     0.000     0.000      918   BasicObject#== 
  0.09      0.001     0.001     0.000     0.000      509   Class#allocate 
  0.09      0.001     0.001     0.000     0.000      731   Array#blank? 
  0.09      0.001     0.001     0.000     0.000      515   Object#present? 
  0.09      0.003     0.001     0.000     0.002      102   ActiveRecord::SpawnMethods#relation_with 
  0.09      0.002     0.001     0.000     0.001      169   Array#join 
  0.09      0.003     0.001     0.000     0.002      102   ActiveRecord::Reflection::ThroughReflection#actual_source_reflection 
  0.09      0.011     0.001     0.000     0.011      306   Arel::Predications#eq 
  0.08      0.001     0.001     0.000     0.001      211   Object#blank? 
  0.08      0.001     0.001     0.000     0.001      414   ActiveRecord::Associations::Preloader::BelongsTo#association_key_name 
  0.08      0.001     0.001     0.000     0.000       16   Array#- 
  0.08      0.001     0.001     0.000     0.000      678   Hash#initialize_copy 
  0.08      0.001     0.001     0.000     0.000      410   <Class::SocialAccount(id: integer, social_id: string, social_name: string, created_at: datetime, updated_at: datetime, social_account_type_id: integer)>#_reflections 
  0.08      0.001     0.001     0.000     0.000        8   IO#write 
  0.08      0.001     0.001     0.000     0.000      189   String#% 
  0.08      0.004     0.001     0.000     0.004      102   ActiveRecord::Reflection::ThroughReflection#association_primary_key 
  0.08      0.001     0.001     0.000     0.000      509   ActiveRecord::Reflection::AssociationReflection#active_record_primary_key 
  0.08      0.002     0.001     0.000     0.001      197   ActiveRecord::AttributeMethods::ClassMethods#method_defined_within? 
  0.07      0.001     0.001     0.000     0.000      417   Struct#initialize 
  0.07      0.001     0.001     0.000     0.000       54   String#gsub 
  0.07      0.006     0.000     0.000     0.006      204   ActiveRecord::Associations::CollectionProxy#to_ary 
  0.07      0.000     0.000     0.000     0.000      204   ActiveRecord::QueryMethods#extending_values= 
  0.07      0.001     0.000     0.000     0.000       82   String#gsub! 
  0.07      0.083     0.000     0.000     0.082      220   Enumerable#each_with_index 
  0.07      0.001     0.000     0.000     0.000      406   ActiveRecord::Associations::Preloader::HasMany#association_key_name 
  0.07      0.000     0.000     0.000     0.000      328   Array#shift 
  0.07      0.000     0.000     0.000     0.000      612   Hash#delete 
  0.07      0.000     0.000     0.000     0.000      339   Module#< 
  0.07      0.000     0.000     0.000     0.000      382   ActiveModel::AttributeMethods::ClassMethods#generated_attribute_methods 
  0.07      0.001     0.000     0.000     0.000      513   ActiveRecord::ModelSchema::ClassMethods#decorate_columns 
  0.07      0.002     0.000     0.000     0.002      204   <Class::ActiveRecord::Associations::AliasTracker>#empty 
  0.07      0.000     0.000     0.000     0.000      310   <Class::ActiveRecord::Base>#default_scopes 
  0.07      0.002     0.000     0.000     0.002      102   Enumerable#sort_by 
  0.06      0.000     0.000     0.000     0.000      372   Module#const_defined? 
  0.06      0.002     0.000     0.000     0.002      197   ActiveRecord::AttributeMethods::ClassMethods#dangerous_attribute_method? 
  0.06      0.000     0.000     0.000     0.000      783   String#starts_with? 
  0.06      0.000     0.000     0.000     0.000      208   Hash#initialize 
  0.06      0.001     0.000     0.000     0.000      448   Proc#call 
  0.06      0.000     0.000     0.000     0.000      509   <Class::ActiveRecord::Base>#_find_callbacks 
  0.06      0.000     0.000     0.000     0.000      204   ActiveRecord::Reflection::ThroughReflection#chain 
  0.06      0.003     0.000     0.000     0.003      102   ActiveRecord::Reflection::ThroughReflection#foreign_key 
  0.06      0.001     0.000     0.000     0.000      204   ActiveRecord::Associations::Association#find_target? 
  0.06      0.000     0.000     0.000     0.000      378   <Class::ActiveRecord::DynamicMatchers::Method>#pattern 
  0.06      0.000     0.000     0.000     0.000      409   Array#last 
  0.06      0.000     0.000     0.000     0.000      180   <Class::File>#join 
  0.06      0.112     0.000     0.000     0.112      204   <Class::ActiveRecord::Associations::AssociationScope>#scope 
  0.06      0.000     0.000     0.000     0.000      509   <Class::ActiveRecord::Base>#_initialize_callbacks 
  0.06      0.000     0.000     0.000     0.000      408   ActiveRecord::ModelSchema::ClassMethods#column_names 
  0.06      0.252     0.000     0.000     0.252      102   User::GeneratedAssociationMethods#social_accounts 
  0.06      0.003     0.000     0.000     0.002      102   Hash#except 
  0.06      0.001     0.000     0.000     0.001      204   ActiveRecord::Associations::CollectionAssociation#reset 
  0.06      0.000     0.000     0.000     0.000      509   ActiveRecord::ModelSchema::ClassMethods#initialize_attributes 
  0.06      0.003     0.000     0.000     0.002      189   <Class::ActiveRecord::DynamicMatchers::Method>#match 
  0.06      0.005     0.000     0.000     0.004      204   ActiveRecord::Associations::CollectionProxy#load_target 
  0.06      0.000     0.000     0.000     0.000      204   ActiveRecord::Associations::AliasTracker#initialize 
  0.06      0.002     0.000     0.000     0.002      193   Enumerable#find 
  0.06      0.001     0.000     0.000     0.000      102   ActiveRecord::Associations::ThroughAssociation#chain 
  0.06      0.000     0.000     0.000     0.000      306   ActiveRecord::Associations::AssociationScope#alias_suffix 
  0.06      0.000     0.000     0.000     0.000      571   SQLite3::Statement#done? 
  0.05      0.001     0.000     0.000     0.000      189   ActiveModel::AttributeMethods::ClassMethods#instance_method_already_implemented? 
  0.05      0.000     0.000     0.000     0.000       56   <Class::ActiveRecord::Base>#logger 
  0.05      0.000     0.000     0.000     0.000      509   ActiveRecord::Persistence::ClassMethods#discriminate_class_for_record 
  0.05      0.018     0.000     0.000     0.017      204   ActiveRecord::Associations::AssociationScope#construct_tables 
  0.05      0.013     0.000     0.000     0.013      102   ActiveRecord::Associations::HasManyThroughAssociation#initialize 
  0.05      0.000     0.000     0.000     0.000      204   ActiveRecord::ConnectionAdapters::SchemaCache#columns_hash 
  0.05      0.001     0.000     0.000     0.000      202   ActiveRecord::AttributeMethods#has_attribute? 
  0.05      0.003     0.000     0.000     0.002      197   ActiveRecord::AttributeMethods::PrimaryKey::ClassMethods#dangerous_attribute_method? 
  0.05      0.001     0.000     0.000     0.001      202   ActiveRecord::Associations::Association#foreign_key_for? 
  0.05      0.000     0.000     0.000     0.000      277   NilClass#to_a 
  0.05      0.002     0.000     0.000     0.002      102   ActiveRecord::Reflection::ThroughReflection#type 
  0.05      0.003     0.000     0.000     0.003      102   ActiveRecord::Reflection::ThroughReflection#source_macro 
  0.05      0.000     0.000     0.000     0.000      102   Arel::Nodes::Unary#initialize 
  0.05      0.001     0.000     0.000     0.000      305   ActiveRecord::Associations::Preloader::HasMany#owner_key_name 
  0.05      0.001     0.000     0.000     0.001      189   ActiveModel::AttributeMethods::ClassMethods::AttributeMethodMatcher#method_name 
  0.05      0.000     0.000     0.000     0.000      322   Kernel#kind_of? 
  0.05      0.000     0.000     0.000     0.000      310   Method#owner 
  0.05      0.004     0.000     0.000     0.004        7   Array#flatten 
  0.05      0.003     0.000     0.000     0.002      202   ActiveRecord::Associations::Association#invertible_for? 
  0.05      0.000     0.000     0.000     0.000      220   Regexp#=== 
  0.04      0.000     0.000     0.000     0.000       55   Module#undef_method 
  0.04      0.001     0.000     0.000     0.000      102   ActiveRecord::Reflection::AssociationReflection#table_name 
  0.04      0.001     0.000     0.000     0.000      103   ActiveRecord::Reflection::AssociationReflection#primary_key 
  0.04      0.003     0.000     0.000     0.003      102   #<Module:0x007fb75fac5c88>#__temp__56d61696c6 
  0.04      0.000     0.000     0.000     0.000      250   Kernel#respond_to_missing? 
